SeccionCensal;FofM
0312101004;21,96 %
3003004035;21,96 %
4101701007;21,96 %
3002601008;21,96 %
2807907053;21,96 %
4101104002;21,96 %
3501701007;21,97 %
1003701003;21,97 %
1890501007;21,97 %
0306502008;21,97 %
3500402015;21,97 %
0801509030;21,97 %
3800101007;21,97 %
3001001010;21,97 %
0801901008;21,97 %
0390201002;21,97 %
2807906015;21,97 %
4618601008;21,97 %
3001001001;21,97 %
2807906043;21,98 %
2902501002;21,98 %
3803811012;21,98 %
0829804001;21,98 %
0490201002;21,98 %
2807902105;21,99 %
4927503002;21,99 %
2511001001;21,99 %
4707601017;21,99 %
5021901001;21,99 %
4608501007;21,99 %
3003702008;21,99 %
4100502003;21,99 %
5016301002;21,99 %
4721701001;21,99 %
2807908125;22,00 %
0407902020;22,00 %
2816101010;22,00 %
2810601044;22,00 %
0810102020;22,00 %
2807907100;22,00 %
0801901023;22,00 %
1711702002;22,00 %
0819402001;22,00 %
4800101004;22,00 %
1933101001;22,01 %
0811401001;22,01 %
2102102004;22,01 %
2512002005;22,01 %
0812403006;22,01 %
1607804025;22,01 %
4110201003;22,01 %
2907001028;22,01 %
2807901051;22,01 %
0208102004;22,01 %
0305905001;22,01 %
3000501013;22,01 %
2805001003;22,01 %
4802901005;22,01 %
0801910018;22,02 %
0406602001;22,02 %
4600601005;22,02 %
1501101008;22,02 %
1102004013;22,02 %
3000201010;22,02 %
1202701005;22,02 %
0704001012;22,02 %
2306003003;22,03 %
0103601004;22,03 %
1715501008;22,03 %
1706603002;22,03 %
2807907097;22,03 %
4109104028;22,03 %
1102701006;22,03 %
4708503004;22,03 %
2901501009;22,04 %
1501701008;22,04 %
5100104009;22,04 %
3720701001;22,04 %
2106101001;22,04 %
4516302001;22,04 %
1204005008;22,04 %
1502101003;22,04 %
